questions,answer
How to reset my password,"Click on 'Forgot Password' to change your password. Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols."
I forgot my password,"Click on 'Forgot Password' to change your password. Your password must be a combination of alphanumeric characters of 12-15 characters in length, containing at least one letter, one numeral and one upper case. It cannot be reused for at least 5 generations and cannot be the same as the user ID. [12-15 characters, a-z A-Z 0-9]. Do not use any symbols."
how check attendance,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
What is my attendance rate,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
What is the attendance policy,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
What is the attendance requirements,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
What is my attendance record,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
How do i view my attendance record,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
How do i check my attendance record,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
How can i view my attendance record,"Visit  https://mynypportal.nyp.edu.sg/  My NYP Portal then login to NYP Student Portal, go to’Academic Matters’ click on ‘Student Attendance System' to check your attendance rate. If your attendance in any module drops below 75%, your grade in that module will be capped at “D” (50 marks) with a corresponding 1.0 grade point, if you pass the module."
